科目编码,科目名称,English,会计要素,余额方向,上级编码,层级,现金科目,银行科目,现金等价物,期末调汇,外币核算类型,数量核算,系统预置,预置核算维度
1001,库存现金,Cash on Hand,流动资产,借,,1,是,否,否,是,核算所有币种,否,是,现金账户(必录)
1002,银行存款,Bank Deposit,流动资产,借,,1,否,是,否,是,核算所有币种,否,是,银行(必录);银行账户(必录)
1012,其他货币资金,Other Cash and Cash Equivalents,流动资产,借,,1,否,否,是,是,核算所有币种,否,是,
1101,交易性金融资产,Trading Financial Assets,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1121,应收票据,Bills of Exchange Receivable,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,客户(选填)
1122,应收账款,Accounts Receivable,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1122.01,明细应收款,Accounts Receivable Details,流动资产,借,1122,2,否,否,否,是,核算所有币种,否,是,客户(必录)
1122.02,暂估应收款,Accrued Receivable,流动资产,借,1122,2,否,否,否,是,核算所有币种,否,是,客户(必录)
1123,预付账款,Prepayment,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,供应商(必录)
1131,应收股利,Dividends Receivable,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1132,应收利息,Interest Receivable,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1221,其他应收款,Other Receivables,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1221.01,客户往来,Customer Transaction,流动资产,借,1221,2,否,否,否,是,核算所有币种,否,是,客户(必录)
1221.02,供应商往来,Supplier Accounts Transaction,流动资产,借,1221,2,否,否,否,是,核算所有币种,否,是,供应商(必录)
1221.03,员工往来,Employee Transaction,流动资产,借,1221,2,否,否,否,是,核算所有币种,否,是,员工(必录)
1221.04.01,统收款,Unified Collection,流动资产,借,1221.04,3,否,否,否,是,核算所有币种,否,是,组织机构(必录)
1221.04,统收款,Unified Collection,流动资产,借,1221,2,否,否,否,是,核算所有币种,否,是,组织机构(必录)
1221.99,其他,,流动资产,借,1221,2,否,否,否,是,核算所有币种,否,否,
1231,坏账准备,Bad Debt Provision,流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1321,代理业务资产,Asset in Proxy Business,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1401,材料采购,Material Purchase,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1402,在途物资,Materials in Transit,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1403,原材料,Raw Materials,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1404,材料成本差异,Material Cost Variance,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1405,库存商品,Finished Goods Inventory,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1406,发出商品,Shipped Products,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1407,商品进销差价,Difference Between Product Purchase and Sale Prices,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1408,委托加工物资,Materials for Delegated Processing,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1411,周转材料,Turnover Material,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1462,合同资产,Contractual Assets,流动资产,借,,1,否,否,否,是,核算所有币种,否,是,客户(必录)
1463,合同资产减值准备,Loss Allowance for Contract Assets,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1464,合同履约成本,Contract Fulfillment Cost,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1465,合同履约成本减值准备,Allowance for Impairment of Contract Fulfillment Cost,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1466,合同取得成本,Contract Acquisition Cost,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1467,合同取得成本减值准备,Allowance for Impairment of Contract Acquisition Cost,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1471,存货跌价准备,Inventory Write-Down Provision,流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1481,持有待售资产,Assets Held for Sale,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1482,持有待售资产减值准备,Impairment Allowance for Assets Held for Sale,流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1485,应收退货成本,Return Cost Receivable,流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1501,债权投资,Financial Assets at Amortized Cost,非流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1502,债权投资减值准备,Allowance for Impairment of Financial Assets at Amortized Cost,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1503,其他债权投资,Financial Assets at FVOCI,非流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1504,其他权益工具投资,Investment in Other Equity Instruments,非流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1511,长期股权投资,Long-Term Equity Investments,非流动资产,借,,1,否,否,否,是,核算所有币种,否,是,组织机构(选填)
1512,长期股权投资减值准备,Allowance for Impairment of Long-Term Equity Investment,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1521,投资性房地产,Investment Property,非流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1531,长期应收款,Long-Term AR,非流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1532,未实现融资收益,Unrealized Financing Income,非流动资产,借,,1,否,否,否,是,核算所有币种,否,是,
1601,固定资产,Fixed Assets,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,资产类别(必录)
1602,累计折旧,Accumulated Depreciation,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,资产类别(必录)
1603,固定资产减值准备,Impairment Allowance for Fixed Assets,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1604,在建工程,Construction In Progress,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1605,工程物资,Engineering Materials,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1606,固定资产清理,Fixed Asset Disposal,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1621,生产性生物资产,Productive Biological Assets,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1622,生产性生物资产累计折旧,Accumulated Depreciation of Productive Biological Assets,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1623,公益性生物资产,Public Welfare Biological Assets,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1631,油气资产,Oil and Gas Assets,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1632,累计折耗,Accumulated Depletion,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1641,使用权资产,Right-of-Use Asset,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1642,使用权资产累计折旧,Accumulated Depreciation of Right-of-use Asset,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1643,使用权资产减值准备,Impairment Allowance for Right-of-Use Assets,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1701,无形资产,Intangible Assets,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1702,累计摊销,Accumulated Amortization,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1703,无形资产减值准备,Impairment Allowance for Intangible Assets,非流动资产,贷,,1,否,否,否,否,不核算外币,否,是,
1711,商誉,Goodwill,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1801,长期待摊费用,Long-Term Prepaid Expense,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1811,递延所得税资产,Deferred Tax Assets,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
1901,待处理财产损溢,Gains and Losses on Pending Disposal of Assets,非流动资产,借,,1,否,否,否,否,不核算外币,否,是,
2001,短期借款,Short-Term Loans,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2101,交易性金融负债,Transactional Financial Liabilities,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2201,应付票据,Bills of Exchange Payable,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,供应商(选填)
2202,应付账款,Trade Payables,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2202.01,明细应付款,Accounts Payable Details,流动负债,贷,2202,2,否,否,否,是,核算所有币种,否,是,供应商(必录)
2202.02,暂估应付款,Accrued Payable,流动负债,贷,2202,2,否,否,否,是,核算所有币种,否,是,供应商(必录)
