seq,段,编码,parent_code,科目名称,余额方向,account_type,cf_cash,reconcile,纳税人身份,来源,决议,备注
0,一级,1001,,库存现金,借,asset_cash,是,,通用,星辰ASSBE原件,保留,"CF判现金,type必须asset_cash"
1,一级,1002,,银行存款,借,asset_cash,是,,通用,星辰ASSBE原件,保留,"CF判现金,type必须asset_cash"
2,一级,1012,,其他货币资金,借,asset_cash,是,,通用,星辰ASSBE原件,保留,"CF判现金,type必须asset_cash"
3,一级,1101,,短期投资,借,asset_current,,,通用,星辰ASSBE原件,保留,
4,一级,1121,,应收票据,借,asset_current,,是,通用,星辰ASSBE原件,保留,
5,一级,1122,,应收账款,借,asset_current,,是,通用,星辰ASSBE原件,保留,
6,一级,1123,,预付账款,借,asset_current,,是,通用,星辰ASSBE原件,保留,
7,一级,1131,,应收股利,借,asset_current,,是,通用,星辰ASSBE原件,保留,
8,一级,1132,,应收利息,借,asset_current,,是,通用,星辰ASSBE原件,保留,
9,一级,1221,,其他应收款,借,asset_current,,是,通用,星辰ASSBE原件,保留,
10,一级,1401,,材料采购,借,asset_current,,,通用,星辰ASSBE原件,保留,
11,一级,1402,,在途物资,借,asset_current,,,通用,星辰ASSBE原件,保留,
12,一级,1403,,原材料,借,asset_current,,,通用,星辰ASSBE原件,保留,
13,一级,1404,,材料成本差异,借,asset_current,,,通用,星辰ASSBE原件,保留,
14,一级,1405,,库存商品,借,asset_current,,,通用,星辰ASSBE原件,保留,
15,一级,1406,,发出商品,借,asset_current,,,通用,星辰ASSBE原件,保留,
16,一级,1407,,商品进销差价,借,asset_current,,,通用,星辰ASSBE原件,保留,
17,一级,1408,,委托加工物资,借,asset_current,,,通用,星辰ASSBE原件,保留,
18,一级,1411,,周转材料,借,asset_current,,,通用,星辰ASSBE原件,保留,
19,一级,1421,,消耗性生物资产,借,asset_current,,,通用,星辰ASSBE原件,保留,
20,一级,1501,,长期债券投资,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
21,一级,1511,,长期股权投资,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
22,一级,1601,,固定资产,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
23,一级,1602,,累计折旧,贷,asset_non_current,,,通用,星辰ASSBE原件,保留,"累计折旧/摊销,贷方,BS减项"
24,一级,1604,,在建工程,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
25,一级,1605,,工程物资,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
26,一级,1606,,固定资产清理,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
27,一级,1621,,生产性生物资产,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
28,一级,1622,,生产性生物资产累计折旧,贷,asset_non_current,,,通用,星辰ASSBE原件,保留,"累计折旧/摊销,贷方,BS减项"
29,一级,1701,,无形资产,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
30,一级,1702,,累计摊销,贷,asset_non_current,,,通用,星辰ASSBE原件,保留,"累计折旧/摊销,贷方,BS减项"
31,一级,1801,,长期待摊费用,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
32,一级,1901,,待处理财产损溢,借,asset_non_current,,,通用,星辰ASSBE原件,保留,
33,一级,2001,,短期借款,贷,liability_current,,,通用,星辰ASSBE原件,保留,
34,一级,2201,,应付票据,贷,liability_current,,是,通用,星辰ASSBE原件,保留,
35,一级,2202,,应付账款,贷,liability_current,,是,通用,星辰ASSBE原件,保留,
36,一级,2203,,预收账款,贷,liability_current,,是,通用,星辰ASSBE原件,保留,
37,一级,2211,,应付职工薪酬,贷,liability_current,,,通用,星辰ASSBE原件,保留,
38,一级,2221,,应交税费,贷,liability_current,,,通用,星辰ASSBE原件,保留,
39,一级,2231,,应付利息,贷,liability_current,,是,通用,星辰ASSBE原件,保留,
40,一级,2232,,应付利润,贷,liability_current,,是,通用,星辰ASSBE原件,保留,
41,一级,2241,,其他应付款,贷,liability_current,,是,通用,星辰ASSBE原件,保留,
42,一级,2401,,递延收益,贷,liability_current,,,通用,星辰ASSBE原件,保留,
43,一级,2501,,长期借款,贷,liability_non_current,,,通用,星辰ASSBE原件,保留,
44,一级,2701,,长期应付款,贷,liability_non_current,,,通用,星辰ASSBE原件,保留,
45,一级,3001,,实收资本,贷,equity,,,通用,星辰ASSBE原件,保留,
