科目编码,科目名称,助记码,科目类别：.名称,余额方向,现金科目,银行科目,现金等价物,数量核算,计量单位.名称,外币核算,币别,期末调汇,辅助核算,辅助核算项目,是否必录,借方现金流量项目：.名称,贷方现金流量项目：.名称,启用状态,不允许手工录入凭证,洗件判定
1001,库存现金,kcxj,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1001001,杨,y,流动资产,借,否,是,否,是,EA,是,欧元,否,否,,,,,启用,否,剔除：沙箱测试行（名称非会计科目）
1001003,现金流量,xjll,流动资产,借,否,是,否,否,,否,,否,是,客户/供应商,非必录/非必录,,,启用,否,保留
1001009,1235688,1235688,流动资产,借,否,是,否,否,,否,,否,是,供应商/客户,非必录/非必录,,,启用,否,保留
1002,银行存款,yhck,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002001,建行,jh,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002002,美元,my,流动资产,借,否,是,否,否,,是,所有币别,是,否,,,,,启用,否,保留
1002003,招商,zs,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002004,XX银行,XXyh,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002005,工商银行,gsyh,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002006,农行,nh,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002007,8888,8888,流动资产,借,否,是,否,否,,是,欧元,否,否,,,,,启用,否,保留
1002008,公积金,gjj,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002009,职业年金,zynj,流动资产,借,否,是,否,否,,否,,否,是,客户,非必录,,,启用,是,保留
1002010,医保,yb,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002011,医补,yb,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002012,医补退,ybt,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002013,养老,yl,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002014,工伤,gs,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002015,失业,sy,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002016,ty春节慰问,tycjww,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002017,mz春节慰问,mzcjww,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002018,jy春节慰问,jycjww,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002019,代扣,dk,流动资产,借,否,是,否,否,,是,所有币别,是,否,,,,,启用,否,保留
1002020,贵阳银行,gyyh,流动资产,借,否,是,否,否,,否,,否,是,账户,非必录,,,启用,否,保留
1002021,临商银行-江南,lsyh-jn,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002022,三交办,sjb,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002023,三交办,sjb,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,保留
1002024,212,212,流动资产,借,否,是,否,否,,否,,否,是,账户,非必录,,,启用,否,保留
1002025,2331,2331,流动资产,借,否,是,否,否,,否,,否,是,供应商,必录,,,启用,否,保留
1002026,测试0701,cs0701,流动资产,借,否,是,否,否,,否,,否,否,,,,,启用,否,剔除：沙箱测试行（名称非会计科目）
1012,其他货币资金,qthbzj,流动资产,借,否,否,是,否,,否,,否,否,,,,,启用,否,保留
1012001,银行汇票存款,yhhpck,流动资产,借,否,否,是,否,,否,,否,是,客户,必录,,,启用,否,保留
1012002,信用卡保证金,xykbzj,流动资产,借,否,否,是,否,,否,,否,是,供应商,必录,,,启用,否,保留
1101,短期投资,dqtz,流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1101001,股票,gp,流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1101002,债券,zq,流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1101003,基金,jj,流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1101010,其他,qt,流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1121,应收票据,yspj,流动资产,借,否,否,是,否,,否,,否,否,,,,,启用,否,保留
